,date,day_pnl,per_lot,year_month,vix,,day
0,31-12-2021,89.1,2227.5,2021-12,16,,Friday
1,03-01-2022,527.8,13195,2022-01,16,,Monday
2,04-01-2022,-179.85,-4496.25,2022-01,16,,Tuesday
3,05-01-2022,312.95,7823.75,2022-01,17,,Wednesday
4,06-01-2022,120.5,3012.5,2022-01,18,,Thursday
5,07-01-2022,15.75,393.75,2022-01,18,,Friday
6,10-01-2022,-381.7,-9542.5,2022-01,18,,Monday
7,11-01-2022,52.35,1308.75,2022-01,18,,Tuesday
8,12-01-2022,117.35,2933.75,2022-01,17,,Wednesday
9,13-01-2022,864.75,21618.75,2022-01,17,,Thursday
10,14-01-2022,-68.75,-1718.75,2022-01,17,,Friday
11,17-01-2022,-103.65,-2591.25,2022-01,17,,Monday
12,18-01-2022,-755.75,-18893.75,2022-01,18,,Tuesday
13,19-01-2022,-63.3,-1582.5,2022-01,18,,Wednesday
14,20-01-2022,98.2,2455,2022-01,18,,Thursday
15,21-01-2022,155.6,3890,2022-01,19,,Friday
16,24-01-2022,56.55,1413.75,2022-01,23,,Monday
17,25-01-2022,766.2,19155,2022-01,21,,Tuesday
18,27-01-2022,235.95,5898.75,2022-01,21,,Thursday
19,28-01-2022,336.15,8403.75,2022-01,21,,Friday
20,31-01-2022,-80.35,-2008.75,2022-01,22,,Monday
21,01-02-2022,259.05,6476.25,2022-02,20,,Tuesday
22,03-02-2022,-1082.6,-27065,2022-02,19,,Thursday
23,04-02-2022,104.3,2607.5,2022-02,19,,Friday
24,07-02-2022,213.15,5328.75,2022-02,20,,Monday
25,08-02-2022,-20.35,-508.75,2022-02,20,,Tuesday
26,09-02-2022,208.3,5207.5,2022-02,19,,Wednesday
27,10-02-2022,984,24600,2022-02,18,,Thursday
28,11-02-2022,24.35,608.75,2022-02,19,,Friday
29,15-02-2022,417.6,10440,2022-02,21,,Tuesday
30,16-02-2022,-419.75,-10493.75,2022-02,21,,Wednesday
31,17-02-2022,138.25,3456.25,2022-02,22,,Thursday
32,21-02-2022,73.1,1827.5,2022-02,23,,Monday
33,22-02-2022,11.45,286.25,2022-02,27,,Tuesday
34,23-02-2022,232.1,5802.5,2022-02,25,,Wednesday
35,25-02-2022,-114.9,-2872.5,2022-02,27,,Friday
36,28-02-2022,58.4,1460,2022-02,29,,Monday
37,02-03-2022,-1142.45,-28561.25,2022-03,29,,Wednesday
38,03-03-2022,717.4,17935,2022-03,28,,Thursday
39,04-03-2022,-519.75,-12993.75,2022-03,28,,Friday
40,14-03-2022,104.95,2623.75,2022-03,26,,Monday
41,15-03-2022,-111.9,-2797.5,2022-03,27,,Tuesday
42,16-03-2022,13.65,341.25,2022-03,24,,Wednesday
43,17-03-2022,1952.8,48820,2022-03,23,,Thursday
44,21-03-2022,-226.05,-5651.25,2022-03,25,,Monday
45,22-03-2022,135.25,3381.25,2022-03,24,,Tuesday
46,23-03-2022,234.55,5863.75,2022-03,25,,Wednesday
47,24-03-2022,-324.45,-8111.25,2022-03,24,,Thursday
48,25-03-2022,-419.55,-10488.75,2022-03,23,,Friday
49,28-03-2022,538.2,13455,2022-03,23,,Monday
50,29-03-2022,-431.65,-10791.25,2022-03,21,,Tuesday
51,30-03-2022,253.65,6341.25,2022-03,21,,Wednesday
52,31-03-2022,1297.8,32445,2022-03,21,,Thursday
53,01-04-2022,472.05,11801.25,2022-04,18,,Friday
54,05-04-2022,-919.75,-22993.75,2022-04,18,,Tuesday
55,06-04-2022,-140.75,-3518.75,2022-04,19,,Wednesday
56,07-04-2022,-101.5,-2537.5,2022-04,19,,Thursday
57,08-04-2022,-15.9,-397.5,2022-04,18,,Friday
58,11-04-2022,85.55,2138.75,2022-04,18,,Monday
59,12-04-2022,213.6,5340,2022-04,18,,Tuesday
60,13-04-2022,443.1,11077.5,2022-04,18,,Wednesday
61,19-04-2022,-800.9,-20022.5,2022-04,20,,Tuesday
62,20-04-2022,56.2,1405,2022-04,19,,Wednesday
63,21-04-2022,-61.25,-1531.25,2022-04,18,,Thursday
64,22-04-2022,151.65,3791.25,2022-04,18,,Friday
65,25-04-2022,-288.9,-7222.5,2022-04,21,,Monday
66,26-04-2022,-125.75,-3143.75,2022-04,19,,Tuesday
67,27-04-2022,-192.9,-4822.5,2022-04,21,,Wednesday
68,28-04-2022,301,7525,2022-04,19,,Thursday
69,29-04-2022,-297.45,-7436.25,2022-04,19,,Friday
70,02-05-2022,-120.25,-3006.25,2022-05,20,,Monday
71,04-05-2022,615.05,15376.25,2022-05,22,,Wednesday
72,05-05-2022,-118.05,-2951.25,2022-05,20,,Thursday
73,06-05-2022,-60.45,-1511.25,2022-05,21,,Friday
74,09-05-2022,-5.55,-138.75,2022-05,22,,Monday
75,10-05-2022,-47.65,-1191.25,2022-05,22,,Tuesday
76,11-05-2022,-565.5,-14137.5,2022-05,23,,Wednesday
77,12-05-2022,551.95,13798.75,2022-05,24,,Thursday
78,13-05-2022,397.3,9932.5,2022-05,23,,Friday
79,16-05-2022,-181.5,-4537.5,2022-05,25,,Monday
80,17-05-2022,43.55,1088.75,2022-05,23,,Tuesday
81,18-05-2022,343.65,8591.25,2022-05,22,,Wednesday
82,19-05-2022,421.95,10548.75,2022-05,25,,Thursday
83,27-05-2022,-1.35,-33.75,2022-05,21,,Friday
84,30-05-2022,62.55,1563.75,2022-05,20,,Monday
85,31-05-2022,-26.2,-655,2022-05,20,,Tuesday
86,01-06-2022,-375.35,-9383.75,2022-06,21,,Wednesday
87,02-06-2022,1095.15,27378.75,2022-06,20,,Thursday
88,03-06-2022,363.65,9091.25,2022-06,20,,Friday
89,06-06-2022,48.05,1201.25,2022-06,20,,Monday
90,07-06-2022,-68.1,-1702.5,2022-06,20,,Tuesday
91,08-06-2022,188,4700,2022-06,20,,Wednesday
92,09-06-2022,-35.25,-881.25,2022-06,19,,Thursday
93,10-06-2022,1.25,31.25,2022-06,20,,Friday
94,13-06-2022,-251,-6275,2022-06,22,,Monday
95,14-06-2022,-202.55,-5063.75,2022-06,22,,Tuesday
96,15-06-2022,-295.3,-7382.5,2022-06,22,,Wednesday
97,16-06-2022,348.4,8710,2022-06,23,,Thursday
98,17-06-2022,70.1,1752.5,2022-06,23,,Friday
99,27-06-2022,94.4,2360,2022-06,21,,Monday
100,28-06-2022,159.8,3995,2022-06,21,,Tuesday
101,29-06-2022,-60,-1500,2022-06,22,,Wednesday
102,30-06-2022,1630.75,40768.75,2022-06,22,,Thursday
103,01-07-2022,379.8,9495,2022-07,21,,Friday
104,04-07-2022,14.05,351.25,2022-07,21,,Monday
105,05-07-2022,133,3325,2022-07,21,,Tuesday
106,06-07-2022,177.45,4436.25,2022-07,20,,Wednesday
107,07-07-2022,420.95,10523.75,2022-07,19,,Thursday
108,08-07-2022,186.5,4662.5,2022-07,18,,Friday
109,11-07-2022,43.6,1090,2022-07,18,,Monday
110,12-07-2022,205.6,5140,2022-07,19,,Tuesday
111,13-07-2022,106.45,2661.25,2022-07,19,,Wednesday
112,14-07-2022,564.25,14106.25,2022-07,18,,Thursday
113,15-07-2022,53.65,1341.25,2022-07,18,,Friday
114,18-07-2022,405.05,10126.25,2022-07,17,,Monday
115,19-07-2022,41.5,1037.5,2022-07,17,,Tuesday
116,20-07-2022,82.7,2067.5,2022-07,17,,Wednesday
117,21-07-2022,99.6,2490,2022-07,17,,Thursday
118,29-07-2022,156.35,3908.75,2022-07,17,,Friday
119,01-08-2022,151.85,3796.25,2022-08,17,,Monday
120,02-08-2022,-170.7,-4267.5,2022-08,19,,Tuesday
121,03-08-2022,24.55,613.75,2022-08,18,,Wednesday
122,04-08-2022,-353.1,-8827.5,2022-08,19,,Thursday
123,12-08-2022,222.15,5553.75,2022-08,18,,Friday
124,16-08-2022,6.1,152.5,2022-08,18,,Tuesday
125,17-08-2022,14.45,361.25,2022-08,18,,Wednesday
126,18-08-2022,-509.45,-12736.25,2022-08,17,,Thursday
127,19-08-2022,338.1,8452.5,2022-08,18,,Friday
128,22-08-2022,-98.1,-2452.5,2022-08,19,,Monday
129,23-08-2022,77,1925,2022-08,19,,Tuesday
130,24-08-2022,-351.55,-8788.75,2022-08,18,,Wednesday
131,25-08-2022,-193,-4825,2022-08,20,,Thursday
132,26-08-2022,-23.95,-598.75,2022-08,18,,Friday
133,29-08-2022,176.05,4401.25,2022-08,20,,Monday
134,30-08-2022,350.5,8762.5,2022-08,19,,Tuesday
135,01-09-2022,480.45,12011.25,2022-09,20,,Thursday
136,02-09-2022,-101.65,-2541.25,2022-09,20,,Friday
137,05-09-2022,10.55,263.75,2022-09,20,,Monday
138,06-09-2022,-160.7,-4017.5,2022-09,20,,Tuesday
139,07-09-2022,217.3,5432.5,2022-09,19,,Wednesday
140,08-09-2022,233.35,5833.75,2022-09,18,,Thursday
141,09-09-2022,-174.3,-4357.5,2022-09,18,,Friday
142,12-09-2022,78.45,1961.25,2022-09,18,,Monday
143,13-09-2022,68.85,1721.25,2022-09,17,,Tuesday
144,14-09-2022,311.45,7786.25,2022-09,18,,Wednesday
145,15-09-2022,588.4,14710,2022-09,18,,Thursday
146,16-09-2022,51.3,1282.5,2022-09,20,,Friday
147,19-09-2022,-7.3,-182.5,2022-09,20,,Monday
148,20-09-2022,-146.05,-3651.25,2022-09,19,,Tuesday
149,21-09-2022,-300.8,-7520,2022-09,19,,Wednesday
150,22-09-2022,18.65,466.25,2022-09,19,,Thursday
151,23-09-2022,-68.15,-1703.75,2022-09,21,,Friday
152,26-09-2022,-59.15,-1478.75,2022-09,22,,Monday
153,27-09-2022,55.25,1381.25,2022-09,22,,Tuesday
154,28-09-2022,-630.8,-15770,2022-09,22,,Wednesday
155,29-09-2022,453.05,11326.25,2022-09,21,,Thursday
156,30-09-2022,383.5,9587.5,2022-09,20,,Friday
157,07-10-2022,-114.95,-2873.75,2022-10,19,,Friday
158,10-10-2022,100.55,2513.75,2022-10,20,,Monday
159,11-10-2022,-70.6,-1765,2022-10,20,,Tuesday
160,12-10-2022,25.2,630,2022-10,20,,Wednesday
161,13-10-2022,482.5,12062.5,2022-10,20,,Thursday
162,14-10-2022,-110.65,-2766.25,2022-10,18,,Friday
163,17-10-2022,-0.55,-13.75,2022-10,18,,Monday
164,18-10-2022,50.9,1272.5,2022-10,17,,Tuesday
165,19-10-2022,14.05,351.25,2022-10,17,,Wednesday
166,20-10-2022,462,11550,2022-10,17,,Thursday
167,21-10-2022,-41.45,-1036.25,2022-10,17,,Friday
168,27-10-2022,1128.65,28216.25,2022-10,17,,Thursday
169,28-10-2022,171.5,4287.5,2022-10,16,,Friday
170,31-10-2022,-3,-75,2022-10,16,,Monday
171,02-11-2022,-168.4,-4210,2022-11,17,,Wednesday
172,03-11-2022,1608.85,40221.25,2022-11,16,,Thursday
173,04-11-2022,104.55,2613.75,2022-11,16,,Friday
174,10-11-2022,-180.6,-4515,2022-11,16,,Thursday
175,11-11-2022,-139.85,-3496.25,2022-11,14,,Friday
176,14-11-2022,-158.6,-3965,2022-11,15,,Monday
177,15-11-2022,72.15,1803.75,2022-11,15,,Tuesday
178,16-11-2022,191.8,4795,2022-11,15,,Wednesday
179,17-11-2022,479.5,11987.5,2022-11,15,,Thursday
180,18-11-2022,31.05,776.25,2022-11,14,,Friday
181,21-11-2022,86.65,2166.25,2022-11,15,,Monday
182,22-11-2022,156.7,3917.5,2022-11,14,,Tuesday
183,23-11-2022,-30.55,-763.75,2022-11,14,,Wednesday
184,24-11-2022,145.4,3635,2022-11,13,,Thursday
